CounterNumber of Walkers, Average age of Walkers, Average distance to target, ;
0, 2, 0, 114;
1, 2, 1, 113;
2, 2, 2, 111;
3, 2, 3, 110;
4, 2, 4, 108;
5, 2, 5, 107;
6, 2, 6, 106;
7, 2, 7, 104;
8, 2, 8, 103;
9, 2, 9, 101;
10, 2, 10, 100;
11, 2, 11, 99;
12, 2, 12, 97;
13, 2, 13, 96;
14, 2, 14, 94;
15, 2, 15, 93;
16, 2, 16, 92;
17, 2, 17, 90;
18, 2, 18, 89;
19, 2, 19, 87;
20, 2, 20, 86;
21, 2, 21, 85;
22, 2, 22, 83;
23, 2, 23, 82;
24, 2, 24, 80;
25, 2, 25, 79;
26, 2, 26, 78;
27, 2, 27, 76;
28, 2, 28, 75;
29, 2, 29, 73;
30, 2, 30, 72;
31, 2, 31, 71;
32, 2, 32, 69;
33, 2, 33, 68;
34, 2, 34, 66;
35, 2, 35, 65;
36, 2, 36, 64;
37, 2, 37, 62;
38, 2, 38, 61;
39, 2, 39, 59;
40, 2, 40, 58;
41, 2, 41, 57;
42, 2, 42, 55;
43, 2, 43, 54;
44, 2, 44, 53;
45, 2, 45, 51;
46, 2, 46, 50;
47, 2, 47, 49;
48, 2, 48, 47;
49, 2, 49, 46;
50, 3, 33, 59;
51, 3, 34, 57;
52, 3, 35, 56;
53, 4, 27, 41;
54, 4, 28, 62;
55, 4, 29, 61;
56, 4, 30, 60;
57, 4, 31, 59;
58, 4, 32, 58;
59, 4, 33, 56;
60, 4, 34, 55;
61, 4, 35, 54;
62, 4, 36, 53;
63, 4, 37, 52;
64, 4, 38, 50;
65, 4, 39, 49;
